50,28,20,98,71,3
97,17,29,94,8,16
37,31,60,89,83,7
56,50,48,77,51,85
97,41,39,54,38,54
43,59,79,73,75,33
77,3,77,64,73,23
98,18,44,35,6,80
18,65,3,29,59,46
49,55,96,71,61,73
52,4,75,91,5,80
69,47,82,75,49,6
98,37,94,60,92,45
52,1,82,63,39,36
49,27,99,33,25,87
23,72,83,94,50,49
78,82,72,75,62,53
67,99,16,47,6,40
23,29,66,83,22,20
17,72,76,25,77,62
96,77,6,97,8,20
68,22,51,78,61,93
46,69,54,16,92,64
74,48,76,85,45,88
38,34,17,46,4,27
81,51,95,70,63,3
71,42,72,14,67,2
99,79,3,24,83,68
28,88,76,34,65,53
59,39,5,46,35,69
32,39,31,90,91,69
62,36,66,34,64,62
14,74,32,5,53,64
15,18,63,39,64,9
92,29,31,3,28,19
78,27,84,91,59,76
35,74,26,61,50,20
13,20,21,2,95,18
23,7,34,68,93,11
33,5,97,47,19,21
29,19,50,92,26,89
42,12,60,24,21,61
37,35,83,91,18,7
12,1,7,56,81,47
42,35,48,7,32,7
60,93,36,94,38,15
94,41,93,25,70,65
98,26,9,44,63,73
53,50,84,12,10,88
98,11,24,68,95,67
84,32,3,92,84,83
40,20,72,53,4,41
8,59,90,63,40,58
80,88,81,95,73,86
77,68,13,95,41,85
18,54,55,49,33,37
52,1,55,87,82,13
95,76,1,74,71,34
15,80,44,25,77,17
70,23,26,43,75,97
99,89,25,34,8,96
55,74,95,2,85,67
53,87,4,99,89,59
4,48,72,73,63,30
37,26,19,70,67,1
87,98,81,88,11,29
45,33,97,55,44,47
65,48,96,8,93,58
56,2,77,57,75,20
38,62,31,74,71,41
45,65,18,10,62,65
57,92,8,64,69,51
6,25,78,31,9,98
79,48,6,86,48,35
7,23,97,29,56,26
54,93,16,7,30,74
21,47,67,62,72,41
64,23,9,97,87,14
67,84,1,90,2,24
45,58,54,31,79,32
18,59,83,76,53,76
39,70,27,69,5,79
58,50,83,47,10,43
2,8,17,38,37,28
89,90,92,19,8,40
46,44,65,33,61,72
96,67,20,52,68,40
81,61,52,39,13,66
40,50,30,82,99,24
39,1,49,78,93,66
78,71,49,84,1,44
88,50,75,85,30,70
22,30,32,40,82,75
10,78,30,64,11,3
98,54,67,36,35,12
69,21,12,89,84,43
48,73,86,5,14,89
45,26,42,97,8,25
56,36,19,42,38,10
8,44,32,47,73,77
23,68,84,43,71,70
33,44,43,60,66,28
65,86,15,99,7,31
91,33,79,69,53,7
52,10,38,45,36,5
4,37,76,78,66,96
13,52,72,19,82,47
55,52,51,3,33,22
5,76,6,71,17,77
86,30,94,78,73,69
1,42,49,59,9,82
24,35,66,79,16,84
37,10,68,4,57,56
22,34,87,64,30,32
62,46,90,66,18,56
86,96,36,86,15,43
21,63,64,74,36,59
19,62,36,94,72,62
81,70,34,88,57,94
41,78,58,17,9,31
34,57,9,58,85,65
60,90,93,99,9,11
32,80,69,85,67,25
46,27,58,88,24,76
41,30,53,63,22,39
81,49,96,55,28,51
20,61,14,40,52,21
38,79,89,91,26,6
28,10,43,35,27,44
95,68,82,25,80,24
26,70,17,30,57,67
63,80,52,28,56,74
65,5,48,28,60,27
54,55,27,86,57,12
42,40,38,77,31,68
34,4,81,56,17,14
90,27,12,11,47,12
15,14,12,66,94,11
75,14,83,11,59,22
15,11,89,80,60,10
16,74,43,51,20,26
85,93,35,88,64,92
81,60,40,10,5,19
75,86,13,12,82,21
51,87,71,13,84,24
14,87,42,79,55,87
92,44,2,51,29,45
68,91,29,79,28,91
58,95,83,61,13,58
23,16,18,91,15,14
16,49,72,74,87,38
36,91,61,63,17,58
71,46,76,86,15,80
62,98,81,99,50,46
54,57,96,84,41,2
13,57,85,59,4,85
93,90,6,71,70,16
94,32,61,48,92,3
90,29,9,42,57,22
13,73,37,31,19,98
70,96,81,21,43,56
6,53,97,46,89,55
39,25,60,23,21,65
9,4,80,11,51,66
24,22,95,75,80,2
27,90,41,66,22,16
73,45,99,15,42,2
33,45,1,37,54,88
1008
