92,160,51,32
5,138,193,124
76,112,13,84
114,144,69,20
7,146,75,194
102,69,124,100
24,132,70,146
185,69,118,66
26,174,70,167
83,186,175,27
46,88,33,192
146,75,96,138
53,183,117,84
162,145,32,37
23,180,96,16
127,43,7,65
187,61,130,178
30,86,153,31
71,113,92,147
63,94,148,59
135,139,177,1
181,70,154,129
158,73,39,178
127,156,152,71
64,29,165,163
179,79,107,88
109,120,125,161
121,100,148,195
15,125,159,149
108,55,26,59
143,87,156,52
76,192,174,111
95,136,122,179
83,127,57,143
121,95,178,97
180,141,73,113
118,148,117,28
165,44,175,176
62,67,171,126
78,116,133,161
150,153,52,169
65,40,131,160
91,50,134,90
131,103,134,66
54,129,68,17
161,25,119,33
128,106,22,67
84,152,98,80
162,66,188,108
135,54,157,22
42,49,181,8
75,190,20,170
182,157,166,162
94,10,65,97
168,128,74,118
91,15,141,49
110,154,142,73
141,56,156,56
24,38,82,137
151,120,119,63
26,105,94,67
58,109,6,183
86,43,99,132
57,115,63,150
19,129,173,175
77,189,191,56
6,2,85,94
125,64,67,156
111,86,179,36
51,5,86,107
78,124,185,177
112,48,196,124
116,98,119,191
128,145,187,139
135,37,113,55
48,103,62,29
189,61,181,88
99,116,186,44
110,195,108,128
109,80,190,60
145,143,34,182
16,2,79,1
193,57,64,188
168,142,101,81
91,159,123,194
81,106,122,145
60,51,159,60
184,88,106,71
78,98,8,186
115,151,174,122
165,166,14,93
196,163,46,45
62,19,68,72
104,28,140,167
155,134,184,21
195,177,62,130
140,98,169,132
136,157,93,163
134,185,107,133
170,164,89,42
118,35,3,155
101,126,2,176
170,117,18,17
180,87,52,178
60,135,190,74
97,147,162,155
20,160,13,82
79,55,171,83
102,92,69,158
169,159,192,105
9,116,188,78
53,140,77,75
101,43,161,41
51,82,105,34
35,50,36,45
123,80,111,139
172,81,123,4
95,15,38,183
38,103,30,37
144,48,150,147
58,82,10,97
92,154,160,63
90,31,122,50
164,194,186,177
54,90,58,89
165,153,68,166
85,76,84,139
142,173,127,144
138,150,131,44
64,193,53,27
111,25,5,172
80,100,95,125
11,99,31,22
148,16,54,126
120,149,32,187
152,12,123,89
114,77,101,49
140,184,30,169
89,27,109,46
102,173,18,9
17,7,104,136
72,96,174,24
102,21,151,158
131,147,55,45
138,58,85,170
137,121,112,151
142,41,35,155
11,130,96,179
154,61,91,144
168,100,85,121
59,8,73,93
74,112,107,19
136,6,164,108
10,12,164,1
171,189,130,76
119,87,137,33
71,77,172,182
4,103,81,105
132,47,115,149
180,13,191,149
182,68,114,41
3,163,168,47
110,167,104,28
18,166,39,173
40,137,129,87
133,106,25,99
34,141,29,104
47,57,183,40
21,46,176,23
14,42,79,66
152,172,72,65
167,196,157,4
114,113,176,184
146,39,93,1
175,3,153,110
9,171,11,158
53,90,143,23
120,74,83,36
12,117,72,133
181,14,126,115
720
