12,44,67,78
20,38,75,53
82,15,20,78
23,33,19,74
6,1,26,71
27,4,64,32
42,6,64,79
11,22,82,41
12,27,24,30
15,7,15,71
57,23,70,29
77,54,15,35
61,72,27,40
17,59,65,59
12,23,52,17
66,14,27,65
49,75,31,51
18,71,64,39
38,44,40,55
4,21,28,2
48,18,57,56
53,67,49,42
31,25,47,42
62,45,54,62
9,21,53,37
79,63,60,40
53,23,61,6
52,30,68,62
65,14,21,5
71,59,55,35
68,34,57,25
63,18,82,17
30,7,59,26
4,5,41,69
39,80,46,3
60,11,73,9
70,33,73,41
21,46,7,68
23,70,78,54
29,28,49,50
37,24,29,65
77,10,51,82
12,3,22,69
44,23,2,45
12,60,24,26
64,40,55,44
61,10,81,68
81,75,1,11
30,36,22,17
79,68,18,26
3,22,7,13
21,19,29,66
25,3,16,57
33,74,64,69
10,76,32,34
68,4,58,60
46,47,50,52
22,55,13,1
58,25,73,56
53,19,62,63
72,8,20,71
16,67,51,61
5,74,70,82
72,15,39,30
78,58,42,9
19,45,36,41
80,8,35,34
79,10,47,1
20,31,46,17
40,78,55,45
17,13,7,38
75,32,25,38
57,16,68,66
67,39,82,55
31,54,75,81
77,18,37,48
23,33,73,51
24,6,60,5
49,2,3,61
42,57,32,18
43,81,63,5
16,79,36,39
22,36,50,5
30,35,57,43
21,65,5,56
31,63,24,2
3,67,51,44
78,50,4,76
80,8,56,8
9,11,52,59
51,53,77,2
37,65,35,81
54,18,69,48
72,31,80,66
31,67,49,44
80,56,74,29
1,70,62,41
59,28,75,56
73,59,28,4
36,61,62,8
77,46,63,76
70,24,19,12
40,76,36,49
72,7,43,16
66,34,32,82
9,20,16,9
36,47,44,14
32,45,6,34
48,45,7,28
61,41,76,48
43,60,11,37
28,51,70,35
56,26,55,76
47,58,29,42
52,8,32,27
78,47,79,17
64,28,74,66
75,74,48,2
47,26,58,53
50,80,37,59
25,20,66,34
1,38,14,73
52,66,62,2
13,77,3,14
10,50,39,69
60,54,49,30
1,79,43,22
45,29,13,16
13,73,77,72
38,11,33,65
58,19,64,50
15,48,27,21
41,76,9,71
15,43,33,24
42,81,40,81
74,27,13,69
33,12,46,72
38,43,6,10
67,69,4,8
39,26,52,10
6,37,11,80
46,19,34,25
54,14,58,71
20,63,14,35
576
