48,54,36,30,35,3
44,45,38,51,28,42
3,22,51,27,61,2
56,26,49,25,40,44
38,37,32,22,8,43
39,1,11,51,53,22
25,21,53,41,28,1
34,51,36,37,12,16
2,27,45,11,17,5
50,46,26,40,24,11
16,41,44,9,51,40
52,32,33,41,39,52
31,15,10,28,12,59
13,47,12,57,17,2
34,19,30,25,8,54
3,32,28,46,60,38
19,30,61,49,14,18
11,23,48,6,9,42
11,33,42,59,24,2
57,6,16,5,32,31
13,34,47,42,21,20
38,8,25,9,55,57
39,13,37,59,56,61
20,21,24,8,31,32
61,15,26,13,1,9
12,16,58,28,17,29
23,51,23,60,61,1
18,20,40,6,53,20
21,30,43,50,44,17
60,18,44,43,52,60
39,15,4,7,29,36
50,15,58,4,26,58
7,19,16,49,7,22
30,54,14,58,27,9
54,35,25,55,43,3
53,45,8,33,15,47
46,10,28,6,9,13
43,26,38,27,58,21
35,19,45,46,57,34
3,37,2,29,54,48
10,19,59,41,14,24
46,49,31,55,7,46
41,12,52,45,20,40
52,43,44,50,18,55
5,55,32,31,10,11
40,50,16,47,33,17
35,47,4,56,38,35
12,29,59,61,50,29
50,39,26,51,42,19
2,37,18,52,58,3
31,14,49,5,43,54
17,57,27,14,7,37
59,60,15,45,56,22
18,13,33,22,1,48
20,5,49,5,36,41
14,42,24,34,48,1
45,49,25,56,47,48
41,29,4,21,52,23
4,10,27,36,53,42
34,48,24,23,39,53
60,53,6,56,46,4
33,10,30,55,47,57
6,23,7,36,8,35
378
